Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,97.2477064220184,97.2477064220184,97.2477064220184,98.1651376146789,98.1651376146789,97.2477064220184,97.2477064220184,97.2477064220184,97.2477064220184,97.2477064220184,97.2477064220184,97.2477064220184,97.2477064220184,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789
mushroom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
hip,57.1428571428571,100,100,92.8571428571429,92.8571428571429,92.8571428571429,100,100,100,92.8571428571429,100,100,100,85.7142857142857,85.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
credit-approval,84.9710982658959,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196
