Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
71.4285714285714,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,100,100,100,85.7142857142857,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
100,100,100,100,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,100,100,100,92.8571428571429,100,100,100,100
92.8571428571429,100,100,100,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,85.7142857142857,92.8571428571429,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
92.8571428571429,92.8571428571429,92.8571428571429,100,100,100,100,92.8571428571429,92.8571428571429,85.7142857142857,100,92.8571428571429,100,92.8571428571429,100,100,100,100,100,100,100
57.1428571428571,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,92.8571428571429,100,100,78.5714285714286,92.8571428571429,92.8571428571429,85.7142857142857,85.7142857142857,92.8571428571429,92.8571428571429,100,100,92.8571428571429,92.8571428571429
100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,92.8571428571429,92.8571428571429,92.8571428571429,85.7142857142857,92.8571428571429,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
92.8571428571429,92.8571428571429,92.8571428571429,100,100,92.8571428571429,100,100,100,100,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,100,100,100,100
92.8571428571429,92.8571428571429,92.8571428571429,100,100,92.8571428571429,100,100,92.8571428571429,100,92.8571428571429,92.8571428571429,92.8571428571429,100,100,100,100,100,100,100,100
85.7142857142857,100,100,100,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,100,92.8571428571429,92.8571428571429,92.8571428571429,100,92.8571428571429,92.8571428571429,100,100
85.7142857142857,100,100,100,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,85.7142857142857,85.7142857142857,100,100,100,100,100,100,100,100,100
92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
92.8571428571429,92.8571428571429,92.8571428571429,100,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,100,100,100,100,100
78.5714285714286,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,85.7142857142857,85.7142857142857,78.5714285714286,78.5714285714286,85.7142857142857,92.8571428571429,78.5714285714286,78.5714285714286,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
85.7142857142857,100,100,92.8571428571429,92.8571428571429,85.7142857142857,100,92.8571428571429,92.8571428571429,85.7142857142857,92.8571428571429,92.8571428571429,100,85.7142857142857,100,100,100,100,92.8571428571429,92.8571428571429,92.8571428571429
71.4285714285714,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,100,85.7142857142857,92.8571428571429,85.7142857142857,85.7142857142857,92.8571428571429,92.8571428571429,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857
92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
100,100,100,92.8571428571429,92.8571428571429,100,100,100,100,92.8571428571429,100,100,100,100,85.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
