Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,98.1651376146789,98.1481481481482,98.1481481481482,99.0740740740741,99.0740740740741,96.2962962962963,96.2962962962963,96.2962962962963,96.2962962962963,95.3703703703704,96.2962962962963,96.2962962962963,96.2962962962963,99.0740740740741,96.2962962962963,96.2962962962963,96.2962962962963,99.0740740740741,96.2962962962963,99.0740740740741,99.0740740740741
mushroom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518
hip,85.7142857142857,85.7142857142857,85.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,85.7142857142857,85.7142857142857,92.8571428571429,100,100,85.7142857142857,85.7142857142857,100,85.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
credit-approval,83.2369942196532,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815,84.393063583815
