Base,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,93.8174015981059,94.3448971315204,94.3448971315204,94.788541426896,94.788541426896,94.7899115451646,94.7600429669089,94.8789692326242,94.4627273026208,94.4630013262745,94.4317626297502,94.7000317867438,94.7000317867438,94.7592208959477,94.8491006543685,94.9384323654818,94.8786952089704,94.7890894742034,94.848552607061,94.4619052316596,94.7592208959477
mushroom,96.7985101888471,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7905687647909,96.7810390559235,96.7873921951684,96.7873921951684,96.777862486301
hip,86.8986175115207,91.5069124423963,91.5069124423963,92.889400921659,92.889400921659,89.6635944700461,91.2764976958525,91.5069124423963,91.5069124423963,90.3548387096774,91.0460829493088,89.8940092165899,91.2764976958525,91.7373271889401,91.7373271889401,92.1981566820277,92.6589861751152,92.889400921659,92.6589861751152,92.6589861751152,92.889400921659
credit-approval,84.1269811672571,85.6373298526944,85.6373298526944,85.6373298526944,85.6373298526944,85.6373298526944,85.6373298526944,85.6373298526944,85.6373298526944,85.6373298526944,85.6373298526944,85.6373298526944,85.6373298526944,85.73056125303,85.6373298526944,85.5440984523588,85.6373298526944,85.73056125303,85.6373298526944,85.5440984523588,85.6373298526944
