Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,95.4128440366973,98.1651376146789,98.1651376146789,99.0825688073395,99.0825688073395,100,98.1651376146789,99.0825688073395,99.0825688073395,98.1651376146789,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395
mushroom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518
hip,92.8571428571429,92.8571428571429,92.8571428571429,100,100,92.8571428571429,92.8571428571429,92.8571428571429,100,92.8571428571429,100,100,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100
credit-approval,83.2369942196532,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387,86.7052023121387
