Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,94.4954128440367,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578
mushroom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
hip,85.7142857142857,85.7142857142857,85.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,85.7142857142857,92.8571428571429,85.7142857142857,85.7142857142857,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
credit-approval,85.5491329479769,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341,83.8150289017341
