Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,99.0825688073395,97.2477064220184,97.2477064220184,99.0825688073395,99.0825688073395,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,97.2477064220184,98.1651376146789,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395
mushroom,100,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518
hip,78.5714285714286,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,78.5714285714286,78.5714285714286,78.5714285714286,78.5714285714286,78.5714285714286,78.5714285714286,78.5714285714286,78.5714285714286,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
credit-approval,87.2832369942196,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948,92.485549132948
