Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,97.2477064220184,98.1651376146789,98.1651376146789,100,100,99.0825688073395,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395,99.0825688073395
mushroom,99.9507631708518,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036,99.9015263417036
hip,35.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,85.7142857142857,85.7142857142857,92.8571428571429,85.7142857142857,85.7142857142857,92.8571428571429,92.8571428571429,85.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
credit-approval,86.1271676300578,84.9710982658959,84.9710982658959,84.9710982658959,84.9710982658959,84.9710982658959,88.4393063583815,84.9710982658959,84.9710982658959,84.9710982658959,88.4393063583815,84.9710982658959,84.9710982658959,84.9710982658959,84.9710982658959,84.9710982658959,84.9710982658959,84.9710982658959,84.9710982658959,84.9710982658959,84.9710982658959
