Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,99.0825688073395,100,100,100,100,98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,100,98.1481481481482,98.1481481481482,98.1481481481482,100,98.1481481481482,100,100
mushroom,100,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518
hip,78.5714285714286,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
credit-approval,83.8150289017341,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908,94.2196531791908
