Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,94.4954128440367,94.4954128440367,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578,96.3302752293578
mushroom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
hip,78.5714285714286,78.5714285714286,78.5714285714286,100,100,92.8571428571429,92.8571428571429,92.8571428571429,100,100,100,92.8571428571429,78.5714285714286,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
credit-approval,88.4393063583815,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196,87.2832369942196
