Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,99.0825688073395,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973
mushroom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
hip,57.1428571428571,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,85.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,100,92.8571428571429,85.7142857142857,92.8571428571429,85.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
credit-approval,86.7052023121387,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289,93.0635838150289
