Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,98.1651376146789,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,94.4954128440367,95.4128440366973,97.2477064220184,94.4954128440367,95.4128440366973,94.4954128440367,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,95.4128440366973,94.4954128440367,94.4954128440367
mushroom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518,100,100,100
hip,92.8571428571429,92.8571428571429,92.8571428571429,100,100,92.8571428571429,100,92.8571428571429,100,92.8571428571429,92.8571428571429,100,100,92.8571428571429,100,100,100,100,100,100,100
credit-approval,85.5491329479769,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815,88.4393063583815
