Nome,Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
vote,97.2477064220184,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,97.2222222222222,99.0740740740741,97.2222222222222,97.2222222222222
mushroom,100,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9015263417036,99.9507631708518,99.9507631708518,99.9015263417036
hip,92.8571428571429,92.8571428571429,92.8571428571429,100,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,92.8571428571429,92.8571428571429,100,100,100,100,100,100,100,100
credit-approval,88.4393063583815,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006,87.8612716763006
