Nome,Original,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
vote,97.2477064220184,97.2477064220184,97.2477064220184,97.2477064220184,97.2477064220184,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,98.1651376146789,97.2477064220184,98.1651376146789,98.1651376146789,98.1651376146789,96.3302752293578,97.2477064220184,96.3302752293578,96.3302752293578,97.2477064220184,97.2477064220184,97.2477064220184
mushroom,99.9507631708518,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
hip,85.7142857142857,85.7142857142857,85.7142857142857,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429
